  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v2.7.5)

2022-11-23 11:37:04.365  INFO 66908 --- [           main] twim.melsecplc.MelsecPlcApplication      : Starting MelsecPlcApplication v0.0.1-SNAPSHOT using Java 17.0.5 on DESKTOP-GJRCHMS with PID 66908 (C:\Users\user\Desktop\melsecPLC_netty_server_ver_0.0.7.jar started by user in C:\Program Files\Java\jdk-17.0.5)
2022-11-23 11:37:04.366  INFO 66908 --- [           main] twim.melsecplc.MelsecPlcApplication      : No active profile set, falling back to 1 default profile: "default"
2022-11-23 11:37:05.012  INFO 66908 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2022-11-23 11:37:05.012  INFO 66908 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-11-23 11:37:05.012  INFO 66908 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-23 11:37:05.059  INFO 66908 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-11-23 11:37:05.059  INFO 66908 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 659 ms
2022-11-23 11:37:05.106  INFO 66908 --- [       Thread-1] twim.melsecplc.Melsec.MelsecController   : Start McProtocol TCP
2022-11-23 11:37:05.200  INFO 66908 --- [-100.100.100.20] twim.melsecplc.Melsec.MelsecPlcHandler   : Attempt connect to PLC(100.100.100.20)...
2022-11-23 11:37:05.302  INFO 66908 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2022-11-23 11:37:05.315  INFO 66908 --- [           main] twim.melsecplc.MelsecPlcApplication      : Started MelsecPlcApplication in 1.221 seconds (JVM running for 1.47)
2022-11-23 11:37:05.330  INFO 66908 --- [-100.100.100.20] twim.melsecplc.Melsec.MelsecPlcHandler   : Connected to PLC(100.100.100.20)...
2022-11-23 11:37:05.343  INFO 66908 --- [ntLoopGroup-2-1] t.m.codec.ClientFrameEMessageEncoder     : Sending Packet Check: true
2022-11-23 11:37:05.390  WARN 66908 --- [ntLoopGroup-2-1] t.m.c.ClientFrame3EAsciiMessageDecoder   : ----------Data Output Start----------
2022-11-23 11:37:05.390  WARN 66908 --- [ntLoopGroup-2-1] t.m.c.ClientFrame3EAsciiMessageDecoder   : toString(): PooledUnsafeDirectByteBuf(ridx: 0, widx: 4, cap: 2048)
2022-11-23 11:37:05.390  WARN 66908 --- [ntLoopGroup-2-1] t.m.c.ClientFrame3EAsciiMessageDecoder   : US_ASCII: ?[??
2022-11-23 11:37:05.390  WARN 66908 --- [ntLoopGroup-2-1] t.m.c.ClientFrame3EAsciiMessageDecoder   : UTF_8: ?[??
